# Apache Access Log - Sample with Attack Patterns
# Generated for Security Log Analyzer Demo
192.168.1.50 - - [15/Jan/2024:08:23:45 -0500] "GET /index.html HTTP/1.1" 200 2326 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
192.168.1.51 - john [15/Jan/2024:08:24:12 -0500] "GET /dashboard HTTP/1.1" 200 4521 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)"
192.168.1.52 - - [15/Jan/2024:08:25:33 -0500] "GET /api/users HTTP/1.1" 200 1024 "-" "curl/7.68.0"
10.0.0.100 - - [15/Jan/2024:08:30:01 -0500] "GET /login HTTP/1.1" 200 512 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:15 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:22 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:28 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:35 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:42 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
10.0.0.100 - - [15/Jan/2024:08:30:50 -0500] "POST /login HTTP/1.1" 401 128 "-" "Mozilla/5.0"
# SQL Injection Attempts
45.33.32.156 - - [15/Jan/2024:09:15:22 -0500] "GET /search?q=1'+OR+'1'='1 HTTP/1.1" 200 5432 "-" "sqlmap/1.5.2"
45.33.32.156 - - [15/Jan/2024:09:15:24 -0500] "GET /search?q=1'+UNION+SELECT+NULL,username,password+FROM+users-- HTTP/1.1" 500 256 "-" "sqlmap/1.5.2"
45.33.32.156 - - [15/Jan/2024:09:15:26 -0500] "GET /search?q=1';+DROP+TABLE+users;-- HTTP/1.1" 500 128 "-" "sqlmap/1.5.2"
45.33.32.156 - - [15/Jan/2024:09:15:28 -0500] "GET /products?id=1+AND+1=1 HTTP/1.1" 200 2048 "-" "sqlmap/1.5.2"
45.33.32.156 - - [15/Jan/2024:09:15:30 -0500] "GET /products?id=1+AND+SLEEP(5) HTTP/1.1" 200 2048 "-" "sqlmap/1.5.2"
45.33.32.156 - - [15/Jan/2024:09:15:35 -0500] "GET /api/v1/users?filter=id=1+UNION+SELECT+*+FROM+information_schema.tables HTTP/1.1" 403 64 "-" "sqlmap/1.5.2"
# XSS Attempts
103.45.67.89 - - [15/Jan/2024:10:22:11 -0500] "GET /comment?text=<script>alert('XSS')</script> HTTP/1.1" 200 1024 "-" "Mozilla/5.0"
103.45.67.89 - - [15/Jan/2024:10:22:15 -0500] "GET /profile?name=<img+src=x+onerror=alert(document.cookie)> HTTP/1.1" 200 512 "-" "Mozilla/5.0"
103.45.67.89 - - [15/Jan/2024:10:22:18 -0500] "GET /search?q=<svg+onload=alert('XSS')> HTTP/1.1" 200 256 "-" "Mozilla/5.0"
103.45.67.89 - - [15/Jan/2024:10:22:22 -0500] "POST /feedback HTTP/1.1" 200 128 "-" "Mozilla/5.0"
103.45.67.89 - - [15/Jan/2024:10:22:25 -0500] "GET /page?redirect=javascript:alert(1) HTTP/1.1" 302 0 "-" "Mozilla/5.0"
# Directory Traversal Attempts
185.220.101.45 - - [15/Jan/2024:11:45:33 -0500] "GET /files/../../../etc/passwd HTTP/1.1" 403 128 "-" "curl/7.68.0"
185.220.101.45 - - [15/Jan/2024:11:45:35 -0500] "GET /download?file=....//....//....//etc/shadow HTTP/1.1" 403 128 "-" "curl/7.68.0"
185.220.101.45 - - [15/Jan/2024:11:45:37 -0500] "GET /read?path=%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd HTTP/1.1" 200 1256 "-" "curl/7.68.0"
